path,t,endpoint_disagreement,mean_endpoint_mse_to_data,endpoint_mse_to_data_rfrac_0.0,endpoint_mse_to_data_rfrac_0.25,endpoint_mse_to_data_rfrac_0.5,endpoint_mse_to_data_rfrac_0.75,endpoint_mse_to_data_rfrac_1.0
00168/img00168003.png,0.25,0.0006993167335167527,0.03585117310285568,0.03948668763041496,0.03714221715927124,0.035727791488170624,0.03516872599720955,0.03522701561450958
00168/img00168039.png,0.25,0.0008680716273374856,0.05724037438631058,0.061740271747112274,0.05905666574835777,0.057214245200157166,0.05633419379591942,0.056196849793195724
00168/img00168064.png,0.25,0.0007891237619332969,0.06381871551275253,0.06796565651893616,0.06555173546075821,0.06379678845405579,0.0629265308380127,0.06279848515987396
00168/img00168116.png,0.25,0.0007815071730874479,0.05175352096557617,0.05528409034013748,0.053092166781425476,0.051735714077949524,0.051237087696790695,0.05132609233260155
00168/img00168122.png,0.25,0.0007573290495201945,0.039680492132902145,0.044235244393348694,0.04127774015069008,0.03946796804666519,0.03867603838443756,0.03853212296962738
00168/img00168143.png,0.25,0.0006270929588936269,0.04491739720106125,0.04851220175623894,0.04627517983317375,0.04485079646110535,0.04414944350719452,0.043934810906648636
00168/img00168162.png,0.25,0.0008388935821130872,0.06077928841114044,0.06500623375177383,0.0625835731625557,0.06081316992640495,0.05992201715707779,0.059765905141830444
00168/img00168165.png,0.25,0.0007870490080676973,0.03276432305574417,0.0363788977265358,0.033985331654548645,0.032675549387931824,0.032273512333631516,0.032443568110466
00168/img00168003.png,0.5,0.003672320395708084,0.11563058197498322,0.13277482986450195,0.12150879204273224,0.11587779223918915,0.1133880764245987,0.11296500265598297
00168/img00168039.png,0.5,0.006994669325649738,0.18961334228515625,0.22800546884536743,0.20704257488250732,0.1916045844554901,0.18107450008392334,0.1753128468990326
00168/img00168064.png,0.5,0.008718160912394524,0.25407862663269043,0.2948383092880249,0.2734927535057068,0.2574254870414734,0.2462548315525055,0.24197253584861755
00168/img00168116.png,0.5,0.0064228372648358345,0.1889767199754715,0.22097305953502655,0.202577605843544,0.19033750891685486,0.18301787972450256,0.1800917387008667
00168/img00168122.png,0.5,0.004733838140964508,0.12586504220962524,0.1511799693107605,0.13410106301307678,0.12502548098564148,0.12134341895580292,0.1213444173336029
00168/img00168143.png,0.5,0.005718671716749668,0.168887197971344,0.20059987902641296,0.18289628624916077,0.1698879897594452,0.16158390045166016,0.15806125104427338
00168/img00168162.png,0.5,0.008868356235325336,0.23255598545074463,0.27587416768074036,0.2525400221347809,0.23499353229999542,0.2236720770597458,0.22004197537899017
00168/img00168165.png,0.5,0.003515862626954913,0.09732943028211594,0.11015015840530396,0.10170550644397736,0.0982491672039032,0.09691861271858215,0.09720298647880554
00168/img00168003.png,0.75,0.015043938532471657,0.24603009223937988,0.31418919563293457,0.27957192063331604,0.2550494074821472,0.23594221472740173,0.220617413520813
00168/img00168039.png,0.75,0.033724214881658554,0.40632709860801697,0.5511765480041504,0.47979986667633057,0.42283737659454346,0.38122159242630005,0.3652210831642151
00168/img00168064.png,0.75,0.030448460951447487,0.46256422996520996,0.6092199087142944,0.5288972854614258,0.4772126078605652,0.4384523928165436,0.4112812876701355
00168/img00168116.png,0.75,0.03037041798233986,0.4357021450996399,0.5863059163093567,0.5192269086837769,0.4619423747062683,0.3994308412075043,0.36345675587654114
00168/img00168122.png,0.75,0.031386055052280426,0.31014877557754517,0.4653072655200958,0.37967613339424133,0.32684704661369324,0.28257840871810913,0.2532652020454407
00168/img00168143.png,0.75,0.02596479095518589,0.3719986379146576,0.48596298694610596,0.4250086843967438,0.37989509105682373,0.352569580078125,0.34638074040412903
00168/img00168162.png,0.75,0.02281443029642105,0.43357351422309875,0.546474814414978,0.4760080873966217,0.4375085234642029,0.4210919737815857,0.40085625648498535
00168/img00168165.png,0.75,0.015525475144386292,0.2727348506450653,0.3251064419746399,0.3017262816429138,0.28731849789619446,0.27373507618904114,0.25341540575027466
00168/img00168003.png,0.9,0.055757295340299606,0.4514961540699005,0.6344689726829529,0.5412817597389221,0.47796130180358887,0.427057683467865,0.45549753308296204
00168/img00168039.png,0.9,0.06316819041967392,0.5472916960716248,0.7940672039985657,0.6613520979881287,0.5797993540763855,0.5095645189285278,0.5075163245201111
00168/img00168064.png,0.9,0.04713485762476921,0.6291493773460388,0.8763418197631836,0.742231547832489,0.6542547941207886,0.5821978449821472,0.5263951420783997
00168/img00168116.png,0.9,0.04873707517981529,0.6615927219390869,0.9190341234207153,0.7926997542381287,0.7012660503387451,0.6229116916656494,0.5157370567321777
00168/img00168122.png,0.9,0.05142120644450188,0.6214823722839355,0.8851453065872192,0.7066264152526855,0.6186403632164001,0.5774635076522827,0.5766421556472778
00168/img00168143.png,0.9,0.052279021590948105,0.6121214032173157,0.8538140058517456,0.7170034646987915,0.6540079116821289,0.6028599739074707,0.49431681632995605
00168/img00168162.png,0.9,0.041665926575660706,0.5083860158920288,0.7364820241928101,0.5997591018676758,0.5227346420288086,0.4654358923435211,0.42584824562072754
00168/img00168165.png,0.9,0.04879302531480789,0.4340856075286865,0.6597955226898193,0.5570744872093201,0.47106629610061646,0.3898187279701233,0.33663812279701233
00168/img00168167.png,0.25,0.0006928140064701438,0.02865222468972206,0.03219728171825409,0.029776427894830704,0.028524069115519524,0.028102900832891464,0.028124520555138588
00168/img00168187.png,0.25,0.0008628815412521362,0.043384455144405365,0.04723842069506645,0.04472459852695465,0.04329649358987808,0.042863134294748306,0.04311402514576912
00168/img00168199.png,0.25,0.0007031986024230719,0.04240916669368744,0.04647916182875633,0.04401136189699173,0.04230544716119766,0.041472211480140686,0.041293658316135406
00168/img00168219.png,0.25,0.0006722504622302949,0.03185001760721207,0.03486352413892746,0.032793089747428894,0.03177197650074959,0.03151249885559082,0.03167026489973068
00168/img00168246.png,0.25,0.0008364447276107967,0.06537162512540817,0.06997170299291611,0.06735469400882721,0.06538381427526474,0.06431593000888824,0.06401423364877701
00168/img00168253.png,0.25,0.0009039868018589914,0.0566055104136467,0.062185272574424744,0.058996155858039856,0.056578706949949265,0.05517534539103508,0.05461198464035988
00168/img00168263.png,0.25,0.0008416857453994453,0.0614013597369194,0.06613926589488983,0.06339532881975174,0.06135133281350136,0.060277651995420456,0.060051657259464264
00168/img00168292.png,0.25,0.0008361215586774051,0.06851120293140411,0.0726293995976448,0.0703352689743042,0.06856703758239746,0.06764955073595047,0.06755533814430237
00168/img00168167.png,0.5,0.003500513033941388,0.07964781671762466,0.09660803526639938,0.08494287729263306,0.07911169528961182,0.07742499560117722,0.07765403389930725
00168/img00168187.png,0.5,0.005174742080271244,0.13615000247955322,0.15282846987247467,0.14206495881080627,0.13773587346076965,0.13694676756858826,0.13704761862754822
00168/img00168199.png,0.5,0.005923900753259659,0.14814135432243347,0.18464046716690063,0.1634099781513214,0.14795222878456116,0.13892175257205963,0.13540181517601013
00168/img00168219.png,0.5,0.003241629572585225,0.08752639591693878,0.10446923226118088,0.09389318525791168,0.08725140243768692,0.08425194770097733,0.08397433906793594
00168/img00168246.png,0.5,0.009257522411644459,0.22967782616615295,0.28204602003097534,0.25273630023002625,0.2306513488292694,0.217705637216568,0.2115374207496643
00168/img00168253.png,0.5,0.006956237833946943,0.17811627686023712,0.2190423309803009,0.19517357647418976,0.17879977822303772,0.16889634728431702,0.16345052421092987
00168/img00168263.png,0.5,0.007869678549468517,0.22362492978572845,0.26578426361083984,0.24314410984516144,0.22646848857402802,0.21431076526641846,0.20776543021202087
00168/img00168292.png,0.5,0.009446152485907078,0.2699294984340668,0.3132084608078003,0.29167425632476807,0.2744777500629425,0.2615708112716675,0.25594693422317505
00168/img00168167.png,0.75,0.01623781956732273,0.24519380927085876,0.31236064434051514,0.2791312336921692,0.24797256290912628,0.23702725768089294,0.23066648840904236
00168/img00168187.png,0.75,0.020996518433094025,0.316541850566864,0.3959883749485016,0.3644729256629944,0.33599749207496643,0.3025972843170166,0.2886357307434082
00168/img00168199.png,0.75,0.043630439788103104,0.33685314655303955,0.5449950695037842,0.44643884897232056,0.3592761158943176,0.30919215083122253,0.2425156533718109
00168/img00168219.png,0.75,0.018831191584467888,0.26364418864250183,0.3566938638687134,0.3144327402114868,0.2832815945148468,0.2487308233976364,0.20923784375190735
00168/img00168246.png,0.75,0.031655557453632355,0.4867114722728729,0.6377652883529663,0.546485424041748,0.4919799864292145,0.4708385765552521,0.44476577639579773
00168/img00168253.png,0.75,0.03727857396006584,0.3421442210674286,0.49521028995513916,0.4076058864593506,0.3518573045730591,0.3242330551147461,0.31820735335350037
00168/img00168263.png,0.75,0.029724860563874245,0.4077860116958618,0.5556652545928955,0.4707552194595337,0.41355282068252563,0.38168033957481384,0.3659006357192993
00168/img00168292.png,0.75,0.033942583948373795,0.5008057355880737,0.6634007096290588,0.5714259147644043,0.5034254193305969,0.47308552265167236,0.4624039828777313
00168/img00168167.png,0.9,0.05981941148638725,0.4154261350631714,0.6888569593429565,0.5448956489562988,0.44668978452682495,0.37085676193237305,0.3249285817146301
00168/img00168187.png,0.9,0.03637115657329559,0.5410062074661255,0.7083052396774292,0.6344489455223083,0.5796828866004944,0.5021334886550903,0.4623161554336548
00168/img00168199.png,0.9,0.05342304706573486,0.6812446713447571,0.9226357936859131,0.789670467376709,0.7188857793807983,0.6689858436584473,0.5731606483459473
00168/img00168219.png,0.9,0.04502538964152336,0.4749217927455902,0.6636431217193604,0.5845944285392761,0.5352786183357239,0.454989492893219,0.36123013496398926
00168/img00168246.png,0.9,0.045704666525125504,0.6275010108947754,0.8758549094200134,0.7471813559532166,0.655039370059967,0.5880439877510071,0.499908983707428
00168/img00168253.png,0.9,0.06067126989364624,0.6182390451431274,0.8357676267623901,0.7345490455627441,0.7039514780044556,0.6390950083732605,0.48118841648101807
00168/img00168263.png,0.9,0.05113969370722771,0.5510390400886536,0.8112640380859375,0.6499568223953247,0.5619661211967468,0.5086580514907837,0.479048490524292
00168/img00168292.png,0.9,0.055902935564517975,0.6210107803344727,0.8766278028488159,0.7525557279586792,0.6721946001052856,0.597715437412262,0.485475093126297
00168/img00168309.png,0.25,0.000900431361515075,0.048649512231349945,0.05350317806005478,0.05058979615569115,0.04862072691321373,0.04765249416232109,0.04738353192806244
00168/img00168325.png,0.25,0.0007947748526930809,0.06041811406612396,0.06453915685415268,0.06208425387740135,0.060377269983291626,0.059582166373729706,0.05948159471154213
00168/img00168355.png,0.25,0.0008039657841436565,0.048278067260980606,0.052181683480739594,0.049788832664489746,0.04826362431049347,0.04760165140032768,0.04757437855005264
00168/img00168380.png,0.25,0.0007997840875759721,0.05548125132918358,0.059055134654045105,0.056856364011764526,0.055447980761528015,0.05494777485728264,0.055097922682762146
00168/img00168422.png,0.25,0.0007976664346642792,0.06699095666408539,0.07073723524808884,0.06861567497253418,0.0671040266752243,0.06633869558572769,0.06614749133586884
00168/img00168444.png,0.25,0.0007840334437787533,0.04820566624403,0.05282199755311012,0.050001006573438644,0.04810704290866852,0.04714950919151306,0.046868935227394104
00168/img00168478.png,0.25,0.0007910422864370048,0.06294268369674683,0.06671774387359619,0.06448902189731598,0.06292518973350525,0.062241051346063614,0.06229562312364578
00168/img00168488.png,0.25,0.0008168868953362107,0.05740685015916824,0.06040942668914795,0.05848673731088638,0.05745253711938858,0.05725039541721344,0.0575195848941803
00168/img00168309.png,0.5,0.007578621152788401,0.18606869876384735,0.22222208976745605,0.2037881463766098,0.19032353162765503,0.17946678400039673,0.17243605852127075
00168/img00168325.png,0.5,0.008302963338792324,0.2195599526166916,0.26168572902679443,0.23942571878433228,0.2219565510749817,0.210220068693161,0.20602646470069885
00168/img00168355.png,0.5,0.006884751375764608,0.1799193024635315,0.2082388699054718,0.19177214801311493,0.18126358091831207,0.17628978192806244,0.17645582556724548
00168/img00168380.png,0.5,0.00727172801271081,0.23497852683067322,0.2645159959793091,0.250604510307312,0.24052809178829193,0.23212161660194397,0.2234811782836914
00168/img00168422.png,0.5,0.009967572055757046,0.27333712577819824,0.3219887912273407,0.2980279326438904,0.2786794900894165,0.2641237676143646,0.2537035048007965
00168/img00168444.png,0.5,0.007116760592907667,0.2027524709701538,0.24453836679458618,0.22331969439983368,0.20637378096580505,0.19222114980220795,0.18289309740066528
00168/img00168478.png,0.5,0.007651329040527344,0.2335718274116516,0.2729286551475525,0.2509975731372833,0.235082745552063,0.22498856484889984,0.2221182882785797
00168/img00168488.png,0.5,0.008580458350479603,0.2285574972629547,0.2672277092933655,0.25012683868408203,0.23596110939979553,0.2216210961341858,0.21075302362442017
00168/img00168309.png,0.75,0.03138323500752449,0.4180985987186432,0.5689419507980347,0.4954172968864441,0.43689435720443726,0.3945271372795105,0.35162848234176636
00168/img00168325.png,0.75,0.026276225224137306,0.3905089199542999,0.5490554571151733,0.4550703167915344,0.39117559790611267,0.356971800327301,0.33165255188941956
00168/img00168355.png,0.75,0.03025202825665474,0.4450778663158417,0.5266064405441284,0.49309009313583374,0.48699164390563965,0.4643194079399109,0.4056418836116791
00168/img00168380.png,0.75,0.03311716020107269,0.5228694677352905,0.6690697073936462,0.5932388305664062,0.5335227251052856,0.4958772659301758,0.4882246255874634
00168/img00168422.png,0.75,0.03610685095191002,0.49000832438468933,0.6882922053337097,0.5875461101531982,0.5110968351364136,0.4486256539821625,0.39501500129699707
00168/img00168444.png,0.75,0.04159246012568474,0.44026878476142883,0.6342325210571289,0.54457688331604,0.46728670597076416,0.39641714096069336,0.3667929768562317
00168/img00168478.png,0.75,0.028005434200167656,0.42560911178588867,0.5749412775039673,0.484261691570282,0.42641860246658325,0.3944682478904724,0.38798290491104126
00168/img00168488.png,0.75,0.02492566779255867,0.44228464365005493,0.5838359594345093,0.5165470838546753,0.4606809616088867,0.40744006633758545,0.3675473928451538
00168/img00168309.png,0.9,0.060933735221624374,0.5150874853134155,0.792582631111145,0.6502811908721924,0.5614464282989502,0.4745270609855652,0.4012688994407654
00168/img00168325.png,0.9,0.04258086904883385,0.4527609348297119,0.7132339477539062,0.547816812992096,0.45630764961242676,0.4020107090473175,0.3573397994041443
00168/img00168355.png,0.9,0.05870485305786133,0.7667467594146729,0.9900644421577454,0.8786424398422241,0.8207700252532959,0.7368799448013306,0.7009012699127197
00168/img00168380.png,0.9,0.045225854963064194,0.6189839839935303,0.8585103750228882,0.7133784294128418,0.6261088848114014,0.5789105892181396,0.5441406965255737
00168/img00168422.png,0.9,0.06368955224752426,0.5869404077529907,0.9408758282661438,0.7391650676727295,0.5990930199623108,0.5084859728813171,0.4655300974845886
00168/img00168444.png,0.9,0.06761296838521957,0.6445346474647522,0.9985610842704773,0.787781298160553,0.6641379594802856,0.5988978147506714,0.5113598108291626
00168/img00168478.png,0.9,0.053835250437259674,0.5919362902641296,0.8799299001693726,0.7275162935256958,0.6130680441856384,0.5142906904220581,0.4940527677536011
00168/img00168488.png,0.9,0.06944157928228378,0.66642165184021,1.0492361783981323,0.861458420753479,0.7059064507484436,0.5753659605979919,0.4873490333557129
00168/img00168521.png,0.25,0.0007983343093656003,0.05705086886882782,0.06176113337278366,0.05900532007217407,0.05700582265853882,0.05592258647084236,0.05555114150047302
00168/img00168543.png,0.25,0.0008464513230137527,0.058816708624362946,0.0632827877998352,0.06063713878393173,0.05877654254436493,0.05788581445813179,0.057733483612537384
00168/img00168552.png,0.25,0.0007828079396858811,0.050622422248125076,0.0549386665225029,0.052330102771520615,0.050568751990795135,0.04970596358180046,0.049482665956020355
00168/img00168561.png,0.25,0.000776706263422966,0.06404846161603928,0.06795202940702438,0.0656493604183197,0.06401523947715759,0.06326296925544739,0.06324625015258789
00168/img00168565.png,0.25,0.0008789052371867001,0.05761738121509552,0.0621010959148407,0.05951956659555435,0.05762358009815216,0.05668702721595764,0.056550152599811554
00168/img00168566.png,0.25,0.0007707259501330554,0.0595894381403923,0.06389220058917999,0.06143071502447128,0.059598878026008606,0.05859211087226868,0.058286890387535095
00168/img00168575.png,0.25,0.0008618177962489426,0.0588931068778038,0.06251794844865799,0.06031021475791931,0.05891511216759682,0.05842825770378113,0.05860307440161705
00168/img00168589.png,0.25,0.0007519677164964378,0.062166593968868256,0.06565697491168976,0.06360551714897156,0.062196891754865646,0.061565496027469635,0.06156790256500244
00168/img00168521.png,0.5,0.00793249811977148,0.2215988039970398,0.26591962575912476,0.24205276370048523,0.22383341193199158,0.21117383241653442,0.20467683672904968
00168/img00168543.png,0.5,0.007350744213908911,0.21735911071300507,0.25412020087242126,0.23400066792964935,0.21976830065250397,0.21009480953216553,0.20556527376174927
00168/img00168552.png,0.5,0.00707249203696847,0.18636608123779297,0.22434937953948975,0.20438966155052185,0.18921208381652832,0.17821137607097626,0.1710304617881775
00168/img00168561.png,0.5,0.009429519064724445,0.2753449082374573,0.3163753151893616,0.29582417011260986,0.2790933847427368,0.26763206720352173,0.26494717597961426
00168/img00168565.png,0.5,0.007874365895986557,0.21855223178863525,0.25303885340690613,0.23364827036857605,0.22074809670448303,0.213363915681839,0.21133384108543396
00168/img00168566.png,0.5,0.006890459451824427,0.2181055098772049,0.25657734274864197,0.23548826575279236,0.22029906511306763,0.20956753194332123,0.20304763317108154
00168/img00168575.png,0.5,0.008398128673434258,0.239167258143425,0.2802925109863281,0.26004618406295776,0.2436327189207077,0.23074740171432495,0.22310809791088104
00168/img00168589.png,0.5,0.00956792663782835,0.24648866057395935,0.2903345823287964,0.2672293186187744,0.24916721880435944,0.23860016465187073,0.23495161533355713
00168/img00168521.png,0.75,0.029203614220023155,0.3878404200077057,0.5396089553833008,0.452469140291214,0.39680564403533936,0.36921486258506775,0.3271215260028839
00168/img00168543.png,0.75,0.03347666189074516,0.4572266638278961,0.6194524168968201,0.5328022241592407,0.46242982149124146,0.4281144440174103,0.410717636346817
00168/img00168552.png,0.75,0.038446735590696335,0.47795507311820984,0.6321424841880798,0.5568161010742188,0.5024396777153015,0.4588034749031067,0.4318072199821472
00168/img00168561.png,0.75,0.033182378858327866,0.5142899751663208,0.6684514880180359,0.599287748336792,0.5474019646644592,0.4800596535205841,0.44216102361679077
00168/img00168565.png,0.75,0.03102177381515503,0.48263436555862427,0.6220275163650513,0.5488246083259583,0.4933813214302063,0.4603777527809143,0.44366955757141113
00168/img00168566.png,0.75,0.025860756635665894,0.4121425747871399,0.5540997982025146,0.4750075936317444,0.422817587852478,0.38460370898246765,0.35348790884017944
00168/img00168575.png,0.75,0.04498472437262535,0.4492138922214508,0.6361178159713745,0.5502210855484009,0.4670931398868561,0.4267084002494812,0.3908526301383972
00168/img00168589.png,0.75,0.033747728914022446,0.5163609981536865,0.6684661507606506,0.5941714644432068,0.5359103679656982,0.4955407381057739,0.456454873085022
00168/img00168521.png,0.9,0.05053923651576042,0.531426727771759,0.7859272360801697,0.6497206687927246,0.5680673122406006,0.4815487265586853,0.424565851688385
00168/img00168543.png,0.9,0.062166787683963776,0.6318278908729553,0.9547827243804932,0.7895019054412842,0.6638655066490173,0.5619973540306091,0.4998258948326111
00168/img00168552.png,0.9,0.08984507620334625,0.8338721990585327,1.1375317573547363,0.9583737254142761,0.8934872150421143,0.8248751759529114,0.8043186664581299
00168/img00168561.png,0.9,0.06347321718931198,0.6275078058242798,0.9337671995162964,0.7767026424407959,0.6710602045059204,0.5666899681091309,0.5066850185394287
00168/img00168565.png,0.9,0.05137991905212402,0.6717092990875244,0.9296778440475464,0.7848315834999084,0.6974520683288574,0.6255325078964233,0.5779520869255066
00168/img00168566.png,0.9,0.05212360620498657,0.517059326171875,0.790608286857605,0.6319188475608826,0.527151882648468,0.4497954249382019,0.4464400112628937
00168/img00168575.png,0.9,0.06867031008005142,0.6690971851348877,1.0314241647720337,0.8454641103744507,0.7138582468032837,0.565847635269165,0.5322433114051819
